"Ticker","Nazwa emitenta","Data autoryzacji","Data pierwszego notowania","Data wykupu","Rodzaj oprocentowania obligacji","Oprocentowanie w bieżącym okresie odsetkowym (%)","Strona www emitenta","Wartosc nominalna","Wartosc emisji","Odsetki skumulowane","Waluta"
"ECH0923","ECHO INVESTMENT","2019-03-25","2019-03-25","2023-09-21","zmienne","10.38","www.echo.com.pl","100,00","33 831 500,00","1,00","PLN"
"ECH0926","ECHO INVESTMENT","2022-10-17","2022-10-17","2026-09-06","zmienne","11","www.echo.com.pl","100,00","25 000 000,00","1,51","PLN"
"ECH1123","ECHO INVESTMENT","2018-11-09","2018-11-09","2023-11-08","zmienne","11.18","www.echo.com.pl","100,00","50 000 000,00","5,15","PLN"
"ECH1125","ECHO INVESTMENT","2022-01-10","2022-01-10","2025-11-10","zmienne","12.22","www.echo.com.pl","10 000,00","172 000 000,00","555,76","PLN"
"ECH1227","ECHO INVESTMENT","2023-02-17","2023-02-17","2027-12-08","zmienne","11.9","www.echo.com.pl","10 000,00","180 000 000,00","449,92","PLN"
"EIB0925","EUROPEJSKI BANK","2022-10-26","2022-10-26","2025-09-25","stałe","7","","1 000,00","1 500 000 000,00","38,93","PLN"
"ENA0624","ENEA","2019-09-27","2019-09-27","2024-06-26","zmienne","8.38","www.enea.pl","100 000,00","2 000 000 000,00","2 755,07","PLN"
"ERB0925","ERBUD","2021-09-30","2021-09-30","2025-09-23","zmienne","9.57","www.erbud.pl","1 000,00","75 000 000,00","8,65","PLN"
"EUR1225","EUROCASH","2021-01-07","2021-01-07","2025-12-23","zmienne","9.44","www.grupaeurocash.pl","1 000,00","125 000 000,00","31,81","PLN"
"EVC0923","EVEREST CAPITAL","2021-01-14","2021-01-14","2023-09-18","zmienne","12","www.bocianpozyczki.pl","1 000,00","12 000 000,00","12,49","PLN"
"GEA0624","GRENEVIA","2019-10-04","2019-10-04","2024-06-27","zmienne","9.78","www.grenevia.com","1 000,00","200 000 000,00","31,89","PLN"
"GEA1126","GRENEVIA","2021-11-10","2021-11-10","2026-11-03","zmienne","10.58","www.grenevia.com","1 000,00","400 000 000,00",NA,"PLN"
"GHE0124","GHELAMCO INVEST","2020-07-22","2020-07-22","2024-01-15","stałe","6.1","www.ghelamco.com","100,00","205 000 000,00","1,67","PLN"
"GHE0226","GHELAMCO INVEST","2023-02-10","2023-02-10","2026-02-03","zmienne","11.99","www.ghelamco.com","1 000,00","240 000 000,00","26,61","PLN"
"GHE0924","GHELAMCO INVEST","2020-10-01","2020-10-01","2024-09-25","zmienne","11.96","www.ghelamco.com","1 000,00","50 000 000,00","10,16","PLN"
"GHE1224","GHELAMCO INVEST","2020-12-18","2020-12-18","2024-12-16","zmienne","12.24","www.ghelamco.com","1 000,00","45 000 000,00","43,59","PLN"
"GHI0725","GHELAMCO INVEST","2021-07-23","2021-07-23","2025-07-16","zmienne","12.07","www.ghelamco.com","1 000,00","30 000 000,00","32,74","PLN"
"GHI0925","GHELAMCO INVEST","2022-01-11","2022-01-11","2025-09-29","zmienne","11.95","www.ghelamco.com","1 000,00","170 000 000,00","8,84","PLN"
"GHI1224","GHELAMCO INVEST","2021-03-15","2021-03-15","2024-12-16","zmienne","12.27","www.ghelamco.com","1 000,00","400 000 000,00","43,70","PLN"
"GHL0124","GHELAMCO INVEST","2020-08-12","2020-08-12","2024-01-15","zmienne","12.06","www.ghelamco.com","100,00","19 672 600,00","3,30","PLN"
"GHS0124","GHELAMCO INVEST","2020-10-06","2020-10-06","2024-01-15","stałe","5.5","www.ghelamco.com","100,00","55 000 000,00","1,51","PLN"
"GTC1123","GTC","2019-11-12","2019-11-12","2023-11-04","zmienne","11.87","www.gtcgroup.com","666,67","146 667 400,00","37,29","PLN"
"HBR1223","HB REAVIS FINANCE PL 3","2020-12-15","2020-12-15","2023-12-08","zmienne","12.4","https://hbreavis.com/bond/hbrfinancepl3/","1 000,00","85 000 000,00","46,88","PLN"
"I2D0324","I2 DEVELOPMENT","2022-03-03","2022-03-03","2024-03-16","stałe","5.07","www.i2development.pl","1 000,00","17 939 000,00","5,56","PLN"
"I2D0823","I2 DEVELOPMENT","2021-01-29","2021-01-29","2023-08-11","stałe","6.75","www.i2development.pl","1 000,00","10 000 000,00","13,50","PLN"
"I2M0324","I2 DEVELOPMENT","2022-03-03","2022-03-03","2024-03-16","stałe","5.07","www.i2development.pl","1 000,00","9 608 000,00","5,56","PLN"
"INP1025","INPRO SA","2021-10-14","2021-10-14","2025-10-07","zmienne","9.7","www.inpro.com.pl","1 000,00","35 000 000,00","4,78","PLN"
"INS0126","INDOS","2022-10-24","2022-10-24","2026-01-04","zmienne","11.9","www.indos.pl","100,00","15 000 000,00","0,68","PLN"
"INS0526","INDOS","2023-02-17","2023-02-17","2026-05-23","zmienne","12.43","www.indos.pl","1 000,00","5 500 000,00","20,77","PLN"
"INS0923","INDOS","2021-01-12","2021-01-12","2023-09-17","stałe","6.5","www.indos.pl","100,00","10 786 500,00","0,69","PLN"
"INY0225","INFINITY","2022-04-27","2022-04-27","2025-02-10","zmienne","11.71","www.profbud.info","800,00","18 400 000,00","18,99","PLN"
"INY0725","INFINITY","2022-11-14","2022-11-14","2025-07-12","zmienne","11.7","www.profbud.info","1 000,00","12 000 000,00","4,17","PLN"
"INY0924","INFINITY","2022-01-13","2022-01-13","2024-09-03","zmienne","12.19","www.profbud.info","1 000,00","11 000 000,00","17,70","PLN"
"IPT0627","INPOST SOCIÉTÉ ANONYME W LUKSE","2021-07-16","2021-07-16","2027-06-29","zmienne","9.63","","500 000,00","500 000 000,00","14 115,21","PLN"
"JHM1223","JHM DEVELOPMENT","2020-12-15","2020-12-15","2023-12-30","zmienne","12.4","www.jhmdevelopment.pl","1 000,00","9 053 000,00","8,83","PLN"
"JHM1225","JHM DEVELOPMENT","2021-12-28","2021-12-28","2025-12-17","zmienne","12.12","www.jhmdevelopment.pl","1 000,00","50 000 000,00","42,84","PLN"
"KGH0624","KGHM POLSKA MIEDŹ SA","2019-10-03","2019-10-03","2024-06-27","zmienne","8.36","www.kghm.com","1 000,00","400 000 000,00","27,26","PLN"
"KGH0629","KGHM POLSKA MIEDŹ SA","2019-10-03","2019-10-03","2029-06-27","zmienne","8.83","www.kghm.com","1 000,00","1 600 000 000,00","28,79","PLN"
"KIN1025","KREDYT INKASO","2022-04-29","2022-04-29","2025-10-23","zmienne","11.8","www.kredytinkaso.pl","100,00","17 009 700,00","0,81","PLN"
"KRI0329","KREDYT INKASO","2022-09-13","2022-09-13","2029-03-28","zmienne","11.85","www.kredytinkaso.pl","1 000,00","103 000 000,00","9,09","PLN"
"KRI0427","KREDYT INKASO","2023-04-18","2023-04-18","2027-04-14","zmienne","12.4","www.kredytinkaso.pl","1 000,00","15 000 000,00","3,74","PLN"
"KRI0726","KREDYT INKASO","2022-08-16","2022-08-16","2026-07-27","zmienne","11.63","www.kredytinkaso.pl","100,00","15 679 300,00",NA,"PLN"
"KRI1025","KREDYT INKASO","2021-11-24","2021-11-24","2025-10-19","stałe","6","www.kredytinkaso.pl","100,00","3 666 900,00","0,10","PLN"
"KR10228","KRUK","2023-03-13","2023-03-13","2028-02-20","zmienne","10.93","www.kruksa.pl","100,00","50 000 000,00","1,95","PLN"
"KR10627","KRUK","2022-06-23","2022-06-23","2027-06-02","zmienne","10.24","www.kruksa.pl","100,00","50 000 000,00","1,54","PLN"
"KRU0129","KRUK","2023-01-30","2023-01-30","2029-01-04","zmienne","11.4","www.kruksa.pl","1 000,00","120 000 000,00","6,56","PLN"
"KRU0224","KRUK","2019-03-12","2019-03-12","2024-02-06","zmienne","10.45","www.kruksa.pl","100,00","25 000 000,00","2,26","PLN"
"KRU0226","KRUK","2021-03-11","2021-03-11","2026-02-18","stałe","4.2","www.kruksa.pl","100,00","20 000 000,00","0,77","PLN"
"KRU0227","KRUK","2022-03-01","2022-03-01","2027-02-08","zmienne","10.23","www.kruksa.pl","100,00","50 000 000,00","2,16","PLN"
"KRU0228","KRUK","2022-03-28","2022-03-28","2028-02-02","zmienne","10.14","www.kruksa.pl","1 000,00","350 000 000,00",NA,"PLN"
"KRU0325","KRUK","2019-05-27","2019-05-27","2025-03-27","zmienne","10.9","www.kruksa.pl","1 000,00","115 000 000,00","8,66","PLN"
