"Ticker","Nazwa emitenta","Waluta","Rynek","Wartosc nominalna","Data poprzedniej wypłaty","Dni od poprzedniej wypłaty","Data nastepnej wypłaty","Dni do następnej wypłaty","Rodzaj oprocentowania obligacji","WIBOR","Oprocentowanie","Oprocentowanie w bieżącym okresie odsetkowym (%)","Odsetki skumulowane","Liczba transakcji wrzesień 2023","Liczba dni z transakcjami wrzesień 2023","Obroty [tys.] wrzesień 2023","Data autoryzacji","Data pierwszego notowania","Data wykupu","Wartosc emisji","Zabezpieczenie","Strona www emitenta"
"DEK0626","DEKPOL","PLN","GPW RR","1 000,00",2023-09-27,53,2023-12-27,38,"zmienne","WIBOR 3M","5.5%","12.4","28,54",102,18,1053.54,"2023-06-30","2023-06-30","2026-06-27","40 000 000,00","NIE","www.dekpol.pl"
"DEK1023","DEKPOL","PLN","GPW ASO","1 000,00",2023-10-28,22,NA,NA,"zmienne","WIBOR 6M","4.9%","11.85","46,75",14,4,270.96,"2020-11-12","2020-11-12","2023-10-28","47 228 000,00","TAK","www.dekpol.pl"
"DKP0225","DEKPOL","PLN","GPW RR","1 000,00",2023-11-13,6,2024-02-13,86,"zmienne","WIBOR 3M","4.7%","11.4","11,56",27,14,186.95,"2021-08-19","2021-08-19","2025-02-13","25 000 000,00","NIE","www.dekpol.pl"
"DKP0626","DEKPOL","PLN","","1 000,00",2023-09-27,53,2023-12-27,38,"zmienne","WIBOR 3M","5.5%","12.3","19,21",109,21,989.38,"2023-07-28","2023-07-28","2026-06-27","30 000 000,00","NIE","www.dekpol.pl"
"DKP0824","DEKPOL","PLN","GPW ASO","1 000,00",2023-05-23,180,2023-11-23,4,"zmienne","WIBOR 6M","5.3%","12.25","39,94",40,14,365.52,"2021-03-02","2021-03-02","2024-08-23","39 150 000,00","NIE","www.dekpol.pl"
"DKP0925","DEKPOL","PLN","GPW RR","1 000,00",2023-09-22,58,2023-12-22,33,"zmienne","WIBOR 3M","4.6%","11.5",NA,15,9,121.28,"2022-04-04","2022-04-04","2025-09-22","12 102 000,00","NIE","www.dekpol.pl"
"DNP1023","DINO POLSKA","PLN","GPW ASO","1 000,00",2023-10-06,44,NA,NA,"zmienne","WIBOR 3M","1.3%","8.2","16,85",4,4,21.29,"2020-10-16","2020-10-16","2023-10-06","250 000 000,00","TAK","www.grupadino.pl"
"DNP1025","DINO POLSKA","PLN","GPW ASO","1 000,00",2023-10-20,30,2024-01-22,64,"zmienne","WIBOR 3M","1.2%","8.01","13,39",0,0,0,"2022-01-04","2022-01-04","2025-10-20","200 000 000,00","TAK","www.grupadino.pl"
"DOM0526","DOM DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-11-12,7,2024-05-12,175,"zmienne","WIBOR 6M","1.3%","8.25","29,38",1,1,1.05,"2021-06-02","2021-06-02","2026-05-12","110 000 000,00","NIE","www.domd.pl"
"DOM0925","DOM DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-09-25,55,2024-03-25,127,"zmienne","WIBOR 6M","1.75%","8.7",NA,0,0,0,"2020-10-14","2020-10-14","2025-09-25","100 000 000,00","NIE","www.domd.pl"
"DOM1023","DOM DEVELOPMENT","PLN","GPW ASO, BS ASO","1 000,00",2023-10-09,41,NA,NA,"zmienne","WIBOR 6M","1.5%","8.45","37,74",0,0,0,"2019-01-09","2019-01-09","2023-10-09","50 000 000,00","NIE","www.domd.pl"
"DOM1023","DOM DEVELOPMENT","PLN","GPW ASO, BS ASO","1 000,00",2023-10-09,41,NA,NA,"zmienne","WIBOR 6M","1.5%","8.45","37,74",0,0,0,"2019-01-09","2019-01-09","2023-10-09","50 000 000,00","NIE","www.domd.pl"
"DOM1224","DOM DEVELOPMENT","PLN","GPW ASO","1 000,00",2023-06-12,160,2023-12-12,23,"zmienne","WIBOR 6M","1.5%","8.45","22,92",1,1,10.24,"2020-01-15","2020-01-15","2024-12-12","50 000 000,00","NIE","www.domd.pl"
